Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333.0,Utama,Consumer Non-Cyclicals,8000,15397506664000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857.0,Pengembangan,Consumer Cyclicals,142,558896785694.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2002-04-03,2023-01-06
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680.0,Pengembangan,Financials,6700,4159404756000.0,2021-11-01 09:00:00,2022-11-11 15:59:00,2020-04-16 09:00:00,2022-11-11 16:00:00,2001-04-16,2023-01-06
ABMM,ABM Investama Tbk.,2011-12-06,2753165000.0,Utama,Industrials,3050,8397153250000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-12-06,2023-01-06
ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17150000000.0,Utama,Consumer Cyclicals,490,8403500000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2007-11-06,2023-01-06
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000.0,Utama,Infrastructures,156,1977324960000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2013-06-24,2023-01-06
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200.0,Utama,Properties & Real Estate,64,1422222220800.0,2022-02-21 09:00:00,2023-01-06 15:59:00,2021-05-21 09:00:00,2023-01-06 15:00:00,2021-05-21,2023-01-06
ADES,Akasha Wira International Tbk.,1994-06-13,589896800.0,Pengembangan,Consumer Non-Cyclicals,7125,4203014700000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376.0,Utama,Infrastructures,452,1609503917952.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-03-18,2023-01-06
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000.0,Utama,Financials,8850,8850000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-03-31,2023-01-06
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559.0,Utama,Basic Materials,150,583376933850.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500.0,Pengembangan,Energy,1560,63776437140000.0,2022-01-03 09:00:00,2023-01-06 15:59:00,2022-01-03 09:00:00,2023-01-06 15:00:00,2022-01-03,2023-01-06
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000.0,Utama,Energy,3140,100435920680000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2008-07-16,2023-01-06
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000.0,Pengembangan,Consumer Non-Cyclicals,270,270000000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2019-12-02,2023-01-06
AGII,Aneka Gas Industri Tbk.,2016-09-28,3066660000.0,Utama,Basic Materials,1935,5933987100000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2016-09-28,2023-01-06
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,22520054593.0,Utama,Financials,406,9143142164758.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2003-08-08,2023-01-06
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,17481603282.0,Pengembangan,Financials,89,1555862692098.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2014-12-22,2023-01-06
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,2940000000.0,Pengembangan,Financials,64,188160000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220000000.0,Pengembangan,Energy,274,60280000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-20,2023-01-06
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000.0,Utama,Consumer Non-Cyclicals,142,1322275600000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636.0,Pengembangan,Consumer Cyclicals,50,322473181800.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2004-11-01,2023-01-06
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000.0,Pengembangan,Basic Materials,1150,704085200000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600.0,Utama,Energy,1270,25493312742000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-04-16,2023-01-06
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000.0,Pengembangan,Transportation & Logistic,406,292320000000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2001-07-13,2023-01-06
ALDO,Alkindo Naratama Tbk.,2011-07-12,1316856020.0,Pengembangan,Basic Materials,800,1053484816000.0,2021-11-01 09:00:00,2023-01-06 15:59:00,2020-04-16 09:00:00,2023-01-06 15:00:00,2011-07-12,2023-01-06
